Título,Comienza,Termina,Localización
Bachata Dreams... a Fantastic New Dance World!,2024-07-11T00:30:00Z,2024-07-11T06:00:00Z,"[-80.18902299999999, 25.830171]"
Thouxanbanfauni,2024-07-11T23:00:00Z,2024-07-11T23:00:00Z,"[-80.12059, 25.85164]"
Ben Siems and The Willie August Project,2024-07-11T23:45:00Z,2024-07-11T23:45:00Z,"[-93.1769867, 44.9313545]"
The Guilderland Town Band,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-73.93324, 42.70084]"
Michael Charles,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-95.3759206, 40.7664525]"
Warren Zeiders,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-73.5329, 44.6881]"
The Music of Gingher-Wang Piano Duo,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-88.95191, 39.84209]"
Roseau Gazebo Night 2024 | 11 JUL,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-95.75929, 48.84716]"
Kevn Kinney,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-83.6272046, 32.8328685]"
Skidmore Jazz Institute Faculty All-Stars,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-73.7823587, 43.0957475]"
The Beach Boys,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-88.057919, 44.489548]"
"GORGATRON, Casket Robbery, and Voraath",2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-96.7013819, 40.81403]"
High Mileage at Moontunes!,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-91.25543, 43.81645]"
GR Noir Third Coast Swing Trio,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-85.66813, 42.96209]"
Blake Elliott,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-85.5055923, 44.7643471]"
ANSLEY STEWART SUMMER RESIDENCY,2024-07-11T23:30:00Z,2024-07-11T23:30:00Z,"[-84.31185, 34.0192]"
